Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Date
10,0.0,0.6827,"anies, baswedan, daerah, twitter, dunia, ibukota, khusus, pertamina, depo, bicara",musni umar twittermusni umar twitter depo pertamina plumpang jakut terbkr akibat tinggal dunia politikus partai demokrasi indonesia juang psi salah anies baswedan gubernur daerah khusus ibukota sertifikat smntr warga berani slhkan warga korban takut hilang dukung suara pilih umum twitter,2023-03-07
11,4.0,0.7233,"baswedan, demokrat, kota, jakarta, ampel, ulama, anies, kakek, sunan, makam",anies rasyid baswedan twitter bangga pimpin cerdas lahir kuningan yogyakarta tugas jakarta insya alloh presiden slava ukraini 41m replying woww yahh 39m replying,2023-03-08
12,1.0,0.6933,"anies, nama, janji, pasang, baswedan, peluang, insyaallah, pajak, sandiaga, twittersudah",detikcom twitter kait sosok janji damping kait sosok janji damping anies pilpres demokrat nilai pasang anies ahy janji anies khofifah mar,2023-03-09
13,2.0,0.883,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",marahichsan twitter universitas australia anies nilai universitas australia anies nilai tangan covid perintah pusat buruk mar,2023-03-09
14,4.0,0.8842,"baswedan, demokrat, kota, jakarta, ampel, ulama, anies, kakek, sunan, makam",detikcom twitter demokrat dorong ahy nasdem dorong khofifah demokrat dorong ahy nasdem dorong khofifah damping anies cocok detikers translate tweet newsdetikcom ahy khofifah damping anies lebih lemah demokrat dorong ahy nasdem dorong khofifah damping anies cocok,2023-03-10
15,3.0,0.9575,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",detikcom twitter anies baswedan urut nteratas survei anies baswedan urut nteratas survei elektabilitas survei ipo nama ahy cawapres favorit versi ipo translate tweet newsdetikcom survei ipo anies unggul ganjar prabowo ahy cawapres favorit anies baswedan urut nteratas survei elektabilitas survei ipo,2023-03-11
16,3.0,0.9368,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",detikcom twitter duet aniesahy yakin partai demokrat anies khofifah pasang tepatkeduanya terujirekam jejak perintah jelasdan bagus partai pengusungkarena anies khofifah kader partai,2023-03-11
17,3.0,0.9549,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",langkah anies serius tenang tuntas twitter aliansi nasional indonesia sejahtera puncak gunung lawu anies presiden indonesia sejahtera anies presiden indonesia ubah anies indonesia translate tweet views mar views retweets quote tweet abdul baki,2023-03-12
18,3.0,0.9496,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",detikcom twitter partai usung anies partai adil sejahtera syukur elektabilitas anies survei ipo unggul ganjar prabowo partai usung anies pilih umum syukur hasil survei mar views retweets quote tweets langlang buana mar replying,2023-03-12
19,3.0,0.9576,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",dpp partai adil sejahtera twitter workshop menang batas malaysia workshop menang batas malaysiaindonesia partai adil sejahtera kaltara menang partai adil sejahtera anies baswedan tentu maju ubah bangsa indonesia muhammad nasir ketua dpw,2023-03-14
20,3.0,0.9252,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",tucker carlson twitter asked every potential gop asked every potential gop presidential candidate answer six key questions the perang ukraine amerika serikat promised their full responses below views mar views retweets quotes bookmarks tucker carlson mar former president,2023-03-14
21,3.0,0.7092,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",rusmawandi bintoro twitteranies baswedan nama sejajar presiden rusia vladimir putin rawan anies baswedan abwnews keikutsertaanya afs intercultural programs program tukar ajar siswa indonesiaamerika nama anies baswedan daftar intelektual rusmawandi bintoro replying,2023-03-15
